ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price	Pins	3DModel	Contributor	JLCPCB Part Class	link
"1"	"HDR-M-2.54_1x1"	"DATA,GND,IN,INS,JMP,OUT,VCC"	"HDR-M-2.54_1X1"	"7"	""	""	"LCSC"	"C81276"	"0.014"	"1"	"HDR-M-2.54_1x1"	"LCEDA_Lib"	""	""
"2"	"2SC945P"	"Q13,Q14,Q15,Q16"	"TO-92-3_L4.9-W3.7-P1.27-L"	"4"	"2SC945P"	"ST(先科)"	"LCSC"	"C118547"	"0.037"	"3"	"TO-92-3_L4.9-W3.7-P1.27-L"	"LCSC"	"Extended Part"	"https://atta.szlcsc.com/upload/public/pdf/source/20180629/C233232_99576441F8ED8E9074FB1575A6BE3592.PDF"
"3"	"20kΩ"	"U22,U23,U24,U25,U26,U27,U28"	"RES-TH_BD4.5-L11.0-P15.00-D0.7"	"7"	"RSS 2W 20K J T/B"	"Tyohm(幸亚电阻)"	"LCSC"	"C5200467"	"0.053"	"2"	"RES-TH_BD3.9-L9.0-P16.00-D0.6"	"lcsc"	"Extended Part"	"https://item.szlcsc.com/325357.html"
